score;departement;ville;nom;enseignes;code_naf;dirigeant;age;qualite;chiffre_affaires;resultat;annee_comptes;effectif;date_creation;nb_etablissements;siren;adresse;url_pappers;url_annuaire
100;75;PARIS;L'OFFICE FRANCAIS DE PRESTATION;;78.20Z;Denis Frederic BIALEK;77;Président de SAS;15745083;104784;2024;20-49;1976-01-01;11;305419855;147 BOULEVARD DE MAGENTA 75010 PARIS;https://www.pappers.fr/entreprise/l-office-francais-de-prestation-lfp-305419855;https://annuaire-entreprises.data.gouv.fr/entreprise/305419855
100;75;PARIS;PREMIUM MODELS;;78.10Z;Jean-Michel PRAWIDLO;66;Personne ayant le pouvoir d’engager à titre habituel la société;13793083;528149;2018;20-49;1995-01-02;4;399789056;5-7 RUE DU FAUBOURG POISSONNIERE 75009 PARIS;https://www.pappers.fr/entreprise/premium-models-399789056;https://annuaire-entreprises.data.gouv.fr/entreprise/399789056
100;75;PARIS;SBC TERTIAIRE;;78.20Z;Albert SULTAN;66;Directeur Général;6477510;-51010;2025;10-19;2006-10-04;14;492470398;13 BOULEVARD DE COURCELLES 75008 PARIS;https://www.pappers.fr/entreprise/sbc-tertiaire-492470398;https://annuaire-entreprises.data.gouv.fr/entreprise/492470398
100;75;PARIS;REGITRA;REGITRA;78.20Z;Etienne Christian LIPKA;78;Président de SAS;6124186;307813;2025;6-9;1979-01-01;18;315310193;80 BOULEVARD HAUSSMANN 75008 PARIS;https://www.pappers.fr/entreprise/regitra-regitra-315310193;https://annuaire-entreprises.data.gouv.fr/entreprise/315310193
100;75;PARIS;3S SANTE;;78.20Z;Jean-Luc SICNASI;76;Président de SAS;5545096;101342;2025;10-19;2000-05-22;2;431348432;15 RUE DE MADRID 75008 PARIS;https://www.pappers.fr/entreprise/3s-sante-3-s-sante-pharminterim-431348432;https://annuaire-entreprises.data.gouv.fr/entreprise/431348432
95;75;PARIS;LCI SAINT MAUR;;78.20Z;Albert SULTAN;66;Directeur Général;12672129;225176;2025;10-19;2009-12-15;2;519260574;13 BOULEVARD DE COURCELLES 75008 PARIS;https://www.pappers.fr/entreprise/lci-saint-maur-519260574;https://annuaire-entreprises.data.gouv.fr/entreprise/519260574
95;75;PARIS;SBC ELEC;;78.20Z;Albert SULTAN;66;Directeur Général;6552361;132241;2025;6-9;2009-12-15;5;519260483;13 BOULEVARD DE COURCELLES 75008 PARIS;https://www.pappers.fr/entreprise/sbc-elec-519260483;https://annuaire-entreprises.data.gouv.fr/entreprise/519260483
95;75;PARIS;SBC RHONE APLES;;78.20Z;Albert SULTAN;66;Directeur Général;6000277;149783;2025;3-5;2009-12-15;5;519260699;13 BOULEVARD DE COURCELLES 75008 PARIS;https://www.pappers.fr/entreprise/sbc-rhone-aples-519260699;https://annuaire-entreprises.data.gouv.fr/entreprise/519260699
95;75;PARIS;L.C.I. MALTE;;78.20Z;Albert SULTAN;66;Directeur Général;5402526;-105599;2025;6-9;2009-12-15;2;519267793;13 BOULEVARD DE COURCELLES 75008 PARIS;https://www.pappers.fr/entreprise/l-c-i-malte-519267793;https://annuaire-entreprises.data.gouv.fr/entreprise/519267793
95;75;PARIS;PRIMA BEAUTE;PRIMA BEAUTE;78.20Z;Dolores PERDRIAU (VITROC);79;Directeur Général;3907701;231964;2025;6-9;1986-09-22;8;339479628;171 RUE DE CHARENTON 75012 PARIS;https://www.pappers.fr/entreprise/prima-beaute-prima-beaute-339479628;https://annuaire-entreprises.data.gouv.fr/entreprise/339479628
